LocationID,BRDYEAR,mean_max_depth,max_depth,AirTemp,WaterTemp,num_egg_masses,mean_percent_sub,mean_percent_emerg,mean_percent_water,dry_year,proportion_high_water_vis,proportion_na_water_vis,Watershed,CoastalSite,yearly_rain,yearly_rain_lag,interpolated_canopy,water_flow,water_regime,WaterVis,complete_case,BRDYEAR_scaled,mean_percent_sub_scaled,mean_percent_emerg_scaled,mean_percent_water_scaled,interpolated_canopy_scaled,yearly_rain_scaled,mean_max_depth_scaled,max_depth_scaled,AirTemp_scaled,WaterTemp_scaled,yearly_rain_lag_scaled,num_egg_masses_lag
MC01,2003,1.245,1.28,14.3,9.875,53,0,20,80,FALSE,0.5,0.5,Milagra Creek,FALSE,39.8,38.79,0,lentic,seasonal,1,TRUE,-3.0283216623309954,-0.611430682470649,-0.5975838710909821,0.8623897734812643,-0.8129911935583201,0.37409633769180034,0.7209136699996482,0.176753523244385,-0.8292743818418955,-0.8744211427761702,0.34154497929776756,NA
RL02,2007,2,2,12.5,9.08,2,0,9,90,FALSE,0.5,0.2,Rodeo Lagoon,FALSE,24.29,32.29,3,lentic,perennial,0,TRUE,-2.1674080894823766,-0.611430682470649,-1.0207110376819961,1.239374774322949,-0.7235452752407847,-0.7927841129614971,2.345263591107594,1.353931988051989,-1.6042911438747862,-1.1705184475159052,-0.19067370645112883,NA
LS05,2008,1.5,1.5,14.25,11.5,18,17.5,26.25,55,FALSE,0.25,0,Laguna Salada,FALSE,31.21,47.34,16.666666666666664,lentic,perennial,1,TRUE,-1.952179696270222,0.7792216002909652,-0.35717070825517866,-0.08007272862294781,-0.31606942512756775,-0.27216433742823976,1.2695351665327952,0.5364469430467085,-0.8508026252316984,-0.2691908028993534,1.0416172505520853,NA
LS06,2008,1.1,1.3,14,12.375,1,0,1.5,98.75,FALSE,0,0.25,Laguna Salada,FALSE,31.21,47.34,5,lentic,seasonal,0,TRUE,-1.952179696270222,-0.611430682470649,-1.30920683308496,1.5692366500594235,-0.6639146630290944,-0.27216433742823976,0.4089524268729565,0.20945292504459626,-0.9584438421807109,0.05670245703431725,1.0416172505520853,NA
LS08,2008,1.47,1.75,13.6,14,4,0,0.625,99.25,FALSE,0,0.4,Laguna Salada,TRUE,31.21,47.34,0,lentic,perennial,0,TRUE,-1.952179696270222,-0.611430682470649,-1.3428646758819724,1.5880859001015075,-0.8129911935583201,-0.27216433742823976,1.2049914610583072,0.9451894655493488,-1.130669789299131,0.661932796911134,1.0416172505520853,NA
MC01,2008,1.08,1.5,12.6,11.7,61,2.2,42,57.6,FALSE,0,0,Milagra Creek,FALSE,31.21,47.34,0,lentic,seasonal,0,TRUE,-1.952179696270222,-0.43660582406633175,0.24867046209104585,0.0179433715958903,-0.8129911935583201,-0.27216433742823976,0.36592328988996453,0.5364469430467085,-1.5612346570951814,-0.19470091491451463,1.0416172505520853,NA
LS05,2009,1.06,1.4,15.975,10.6,8,2.3333333333333335,22.666666666666668,75,FALSE,1,0,Laguna Salada,FALSE,29.08,55.78,22.22222222222222,lentic,perennial,1,TRUE,-1.7369513030580674,-0.42601037810243375,-0.49500758828103925,0.6738972730604219,-0.15042883565065024,-0.4324129099550951,0.3228941529069726,0.3729499340456522,-0.10807822828351184,-0.604395298831129,1.7326827440475752,NA
LS06,2009,0.748,1.25,13.12,12.5,0,0.5,7,92.5,FALSE,0.25,0.2,Laguna Salada,FALSE,29.08,55.78,5.333333333333333,lentic,seasonal,0,TRUE,-1.7369513030580674,-0.5716977601060315,-1.097643249789453,1.3336210245333704,-0.6539762276604794,-0.4324129099550951,-0.3483603840277019,0.12770442054406814,-1.3373409258412354,0.10325863702484162,1.7326827440475752,NA
LS07,2009,1.6,1.6,14,11.25,6,0,2.5,97.5,FALSE,0.25,0.2,Laguna Salada,FALSE,29.08,55.78,0,lentic,seasonal,1,TRUE,-1.7369513030580674,-0.611430682470649,-1.2707407270312314,1.5221135249542128,-0.8129911935583201,-0.4324129099550951,1.4846808514477552,0.6999439520477647,-0.9584438421807109,-0.3623031628804021,1.7326827440475752,NA
LS08,2009,0.8433333333333333,0.85,12.98,12.4,15,0.6666666666666666,11.666666666666666,87.66666666666667,FALSE,0.6,0,Laguna Salada,TRUE,29.08,55.78,0,lentic,perennial,0,TRUE,-1.7369513030580674,-0.5584534526511589,-0.9181347548720533,1.1514116074598895,-0.8129911935583201,-0.4324129099550951,-0.14325483107544043,-0.5262836154601565,-1.397620007332682,0.06601369303242226,1.7326827440475752,NA
LS05,2010,1.2616666666666667,1.43,17,14.04,4,0.8333333333333334,49.166666666666664,50,FALSE,0.5,0,Laguna Salada,FALSE,42.65,24.29,27.77777777777778,lentic,perennial,1,TRUE,-1.5217229098459126,-0.5452091451962864,0.524344222142767,-0.26856522904379027,0.015211753826267283,0.5885134417770292,0.7567712841521413,0.42199903674596906,0.3332507612074398,0.6768307745081016,-0.845712088911309,NA
LS06,2010,0.9366666666666666,1.1,18.03333333333333,14.166666666666666,9,0.16666666666666666,1.3383333333333334,98.495,FALSE,0.6666666666666666,0,Laguna Salada,FALSE,42.65,24.29,5.666666666666667,lentic,seasonal,1,TRUE,-1.5217229098459126,-0.5981863750157764,-1.315425520230313,1.5596235325379606,-0.6440377922918642,0.5885134417770292,0.057547808178522085,-0.11754109295751591,0.7781677912633576,0.7240077035651664,-0.845712088911309,NA
LS07,2010,1.36,1.62,16.683333333333334,14.166666666666666,17,0,4.666666666666667,95.33333333333333,FALSE,0.5,0,Laguna Salada,FALSE,42.65,24.29,0,lentic,seasonal,1,TRUE,-1.5217229098459126,-0.611430682470649,-1.187397497248153,1.4404334414385143,-0.8129911935583201,0.5885134417770292,0.9683312076518519,0.732643353847976,0.19690521973869068,0.7240077035651664,-0.845712088911309,NA
LS08,2010,1.4233333333333333,1.68,17.55,13.916666666666666,10,0,12.333333333333334,87.66666666666667,FALSE,0.6666666666666666,0,Laguna Salada,TRUE,42.65,24.29,0,lentic,perennial,1,TRUE,-1.5217229098459126,-0.611430682470649,-0.8924906841695674,1.1514116074598895,-0.8129911935583201,0.5885134417770292,1.1045901414313262,0.8307415592486094,0.5700614384952678,0.6308953435841176,-0.845712088911309,NA
LS09,2010,0.964,1.2,16.916666666666668,15.366666666666667,0,0,14,86,FALSE,0.8,0.2857142857142857,Laguna Salada,FALSE,42.65,24.29,100,lotic,perennial,0,TRUE,-1.5217229098459126,-0.611430682470649,-0.8283805074133533,1.0885807739862752,2.1685394170261945,0.5885134417770292,0.11635429538861106,0.04595591604354,0.2973703555577695,1.1709470314742008,-0.845712088911309,NA
MC01,2010,0.962,1.3,16.166666666666668,13.6,68,11.666666666666666,23.833333333333332,65.83333333333333,FALSE,0,0,Milagra Creek,FALSE,42.65,24.29,0,lentic,seasonal,0,TRUE,-1.5217229098459126,0.31567083937042717,-0.45013046455168937,0.32832768895554393,-0.8129911935583201,0.5885134417770292,0.11205138169031185,0.20945292504459626,-0.02555329528926821,0.512953020941456,-0.845712088911309,NA
RC07,2010,1.2,1.2,14.75,14.025,0,5,10,85,FALSE,0.75,0,Redwood Creek,FALSE,42.65,24.29,0,lentic,perennial,1,TRUE,-1.5217229098459126,-0.21410145882447346,-0.9822449316282674,1.0508822739021066,-0.8129911935583201,0.5885134417770292,0.624098111787916,0.04595591604354,-0.6355201913336732,0.6712440329092391,-0.845712088911309,NA
RC10,2010,2,2,13.9,15.366666666666667,0,0,3.75,96.25,FALSE,0.5,0,Redwood Creek,FALSE,42.65,24.29,0,lentic,seasonal,1,TRUE,-1.5217229098459126,-0.611430682470649,-1.2226580944640708,1.4749903998490022,-0.8129911935583201,0.5885134417770292,2.345263591107594,1.353931988051989,-1.0015003289603157,1.1709470314742008,-0.845712088911309,NA
